72,1001000,48
351,101011111,15F
77,1001101,4D
469,111010101,1D5
148,10010100,94
233,11101001,E9
232,11101000,E8
235,11101011,EB
120,1111000,78
156,10011100,9C
27,11011,1B
182,10110110,B6
182,10110110,B6
159,10011111,9F
44,101100,2C
162,10100010,A2
57,111001,39
230,11100110,E6
150,10010110,96
469,111010101,1D5
175,10101111,AF
52,110100,34
220,11011100,DC
272,100010000,110
385,110000001,181
247,11110111,F7
349,101011101,15D
197,11000101,C5
276,100010100,114
13,1101,D
205,11001101,CD
59,111011,3B
44,101100,2C
430,110101110,1AE
282,100011010,11A
308,100110100,134
289,100100001,121
325,101000101,145
81,1010001,51
369,101110001,171
201,11001001,C9
81,1010001,51
493,111101101,1ED
54,110110,36
363,101101011,16B
284,100011100,11C
132,10000100,84
368,101110000,170
168,10101000,A8
364,101101100,16C
332,101001100,14C
269,100001101,10D
70,1000110,46
323,101000011,143
435,110110011,1B3
424,110101000,1A8
489,111101001,1E9
230,11100110,E6
422,110100110,1A6
481,111100001,1E1
44,101100,2C
57,111001,39
413,110011101,19D
259,100000011,103
176,10110000,B0
239,11101111,EF
290,100100010,122
475,111011011,1DB
184,10111000,B8
403,110010011,193
251,11111011,FB
93,1011101,5D
346,101011010,15A
204,11001100,CC
89,1011001,59
392,110001000,188
268,100001100,10C
132,10000100,84
144,10010000,90
33,100001,21
294,100100110,126
105,1101001,69
350,101011110,15E
453,111000101,1C5
13,1101,D
272,100010000,110
440,110111000,1B8
341,101010101,155
494,111101110,1EE
476,111011100,1DC
329,101001001,149
369,101110001,171
239,11101111,EF
40,101000,28
352,101100000,160
123,1111011,7B
13,1101,D
275,100010011,113
446,110111110,1BE
307,100110011,133
441,110111001,1B9
318,100111110,13E
252,11111100,FC
126,1111110,7E
486,111100110,1E6
184,10111000,B8
175,10101111,AF
39,100111,27
249,11111001,F9
198,11000110,C6
309,100110101,135
330,101001010,14A
250,11111010,FA
427,110101011,1AB
5,101,5
195,11000011,C3
247,11110111,F7
93,1011101,5D
141,10001101,8D
182,10110110,B6
48,110000,30
98,1100010,62
492,111101100,1EC
388,110000100,184
496,111110000,1F0
451,111000011,1C3
106,1101010,6A
197,11000101,C5
94,1011110,5E
157,10011101,9D
217,11011001,D9
308,100110100,134
221,11011101,DD
475,111011011,1DB
67,1000011,43
252,11111100,FC
430,110101110,1AE
80,1010000,50
380,101111100,17C
387,110000011,183
362,101101010,16A
427,110101011,1AB
328,101001000,148
87,1010111,57
246,11110110,F6
232,11101000,E8
121,1111001,79
280,100011000,118
216,11011000,D8
421,110100101,1A5
342,101010110,156
475,111011011,1DB
455,111000111,1C7
348,101011100,15C
130,10000010,82
403,110010011,193
39,100111,27
65,1000001,41
142,10001110,8E
45,101101,2D
176,10110000,B0
173,10101101,AD
498,111110010,1F2
282,100011010,11A
226,11100010,E2
133,10000101,85
42,101010,2A
385,110000001,181
462,111001110,1CE
363,101101011,16B
269,100001101,10D
343,101010111,157
440,110111000,1B8
362,101101010,16A
335,101001111,14F
289,100100001,121
433,110110001,1B1
434,110110010,1B2
437,110110101,1B5
439,110110111,1B7
116,1110100,74
275,100010011,113
95,1011111,5F
10,1010,A
472,111011000,1D8
399,110001111,18F
136,10001000,88
405,110010101,195
378,101111010,17A
419,110100011,1A3
357,101100101,165
472,111011000,1D8
230,11100110,E6
370,101110010,172
162,10100010,A2
267,100001011,10B
377,101111001,179
213,11010101,D5
163,10100011,A3
263,100000111,107
496,111110000,1F0
55,110111,37
183,10110111,B7
22,10110,16
70,1000110,46
272,100010000,110
79,1001111,4F
446,110111110,1BE
359,101100111,167
44,101100,2C
397,110001101,18D
300,100101100,12C
261,100000101,105
103,1100111,67
196,11000100,C4
211,11010011,D3
383,101111111,17F
399,110001111,18F
294,100100110,126
79,1001111,4F
477,111011101,1DD
419,110100011,1A3
417,110100001,1A1
194,11000010,C2
471,111010111,1D7
47,101111,2F
141,10001101,8D
237,11101101,ED
138,10001010,8A
127,1111111,7F
35,100011,23
188,10111100,BC
398,110001110,18E
98,1100010,62
411,110011011,19B
371,101110011,173
158,10011110,9E
206,11001110,CE
204,11001100,CC
425,110101001,1A9
318,100111110,13E
229,11100101,E5
486,111100110,1E6
212,11010100,D4
147,10010011,93
232,11101000,E8
463,111001111,1CF
432,110110000,1B0
261,100000101,105
13,1101,D
433,110110001,1B1
23,10111,17
230,11100110,E6
64,1000000,40
436,110110100,1B4
391,110000111,187
122,1111010,7A
144,10010000,90
483,111100011,1E3
363,101101011,16B
238,11101110,EE
27,11011,1B
478,111011110,1DE
194,11000010,C2
146,10010010,92
306,100110010,132
329,101001001,149
24,11000,18
273,100010001,111
325,101000101,145
244,11110100,F4
74,1001010,4A
333,101001101,14D
453,111000101,1C5
405,110010101,195
103,1100111,67
226,11100010,E2
307,100110011,133
231,11100111,E7
295,100100111,127
297,100101001,129
369,101110001,171
70,1000110,46
469,111010101,1D5
80,1010000,50
129,10000001,81
361,101101001,169
71,1000111,47
328,101001000,148
44,101100,2C
461,111001101,1CD
140,10001100,8C
331,101001011,14B
89,1011001,59
293,100100101,125
435,110110011,1B3
117,1110101,75
443,110111011,1BB
303,100101111,12F
201,11001001,C9
100,1100100,64
161,10100001,A1
445,110111101,1BD
493,111101101,1ED
218,11011010,DA
223,11011111,DF
292,100100100,124
111,1101111,6F
81,1010001,51
318,100111110,13E
303,100101111,12F
17,10001,11
44,101100,2C
350,101011110,15E
466,111010010,1D2
82,1010010,52
351,101011111,15F
313,100111001,139
135,10000111,87
183,10110111,B7
185,10111001,B9
90,1011010,5A
364,101101100,16C
418,110100010,1A2
261,100000101,105
348,101011100,15C
435,110110011,1B3
481,111100001,1E1
424,110101000,1A8
359,101100111,167
36,100100,24
428,110101100,1AC
177,10110001,B1
486,111100110,1E6
57,111001,39
491,111101011,1EB
281,100011001,119
461,111001101,1CD
